genotype,genotype_fold
PHN11_PHW65_0140/LH195,2
PHN11_PHW65_0140/PHT69,3
PHN11_PHW65_0141/LH195,2
PHN11_PHW65_0141/PHT69,3
PHN11_PHW65_0143/LH195,2
PHN11_PHW65_0143/PHT69,0
PHN11_PHW65_0144/LH195,4
PHN11_PHW65_0144/PHT69,3
PHN11_PHW65_0146/LH195,2
PHN11_PHW65_0146/PHT69,0
PHN11_PHW65_0147/LH195,1
PHN11_PHW65_0147/PHT69,3
PHN11_PHW65_0149/LH195,4
PHN11_PHW65_0149/PHT69,4
PHN11_PHW65_0154/LH195,4
PHN11_PHW65_0154/PHT69,1
PHN11_PHW65_0155/LH195,3
PHN11_PHW65_0155/PHT69,0
PHN11_PHW65_0158/LH195,3
PHN11_PHW65_0158/PHT69,2
PHN11_PHW65_0167/LH195,1
PHN11_PHW65_0167/PHT69,2
PHN11_PHW65_0168/LH195,0
PHN11_PHW65_0168/PHT69,4
PHN11_PHW65_0172/LH195,0
PHN11_PHW65_0172/PHT69,1
PHN11_PHW65_0176/LH195,0
PHN11_PHW65_0176/PHT69,0
PHN11_PHW65_0178/LH195,1
PHN11_PHW65_0178/PHT69,1
PHN11_PHW65_0179/LH195,0
PHN11_PHW65_0179/PHT69,2
PHN11_PHW65_0180/LH195,3
PHN11_PHW65_0180/PHT69,4
PHN11_PHW65_0184/LH195,1
PHN11_PHW65_0184/PHT69,0
PHN11_PHW65_0189/LH195,0
PHN11_PHW65_0189/PHT69,4
PHN11_PHW65_0190/LH195,3
PHN11_PHW65_0190/PHT69,2
PHN11_PHW65_0194/LH195,1
PHN11_PHW65_0194/PHT69,0
PHN11_PHW65_0205/LH195,4
PHN11_PHW65_0205/PHT69,1
PHN11_PHW65_0206/LH195,2
PHN11_PHW65_0206/PHT69,4
PHN11_PHW65_0209/LH195,3
PHN11_PHW65_0209/PHT69,3
PHN11_PHW65_0211/LH195,1
PHN11_PHW65_0211/PHT69,2
PHN11_PHW65_0212/LH195,0
PHN11_PHW65_0212/PHT69,1
PHN11_PHW65_0216/LH195,2
PHN11_PHW65_0216/PHT69,2
PHN11_PHW65_0217/LH195,3
PHN11_PHW65_0217/PHT69,4
PHN11_PHW65_0221/LH195,1
PHN11_PHW65_0221/PHT69,2
PHN11_PHW65_0223/LH195,4
PHN11_PHW65_0223/PHT69,1
PHN11_PHW65_0224/LH195,4
PHN11_PHW65_0224/PHT69,0
PHN11_PHW65_0225/LH195,4
PHN11_PHW65_0225/PHT69,0
PHN11_PHW65_0227/LH195,3
PHN11_PHW65_0227/PHT69,3
PHN11_PHW65_0237/LH195,3
PHN11_PHW65_0237/PB80,2
PHN11_PHW65_0237/PHB47,4
PHN11_PHW65_0237/PHT69,0
PHN11_PHW65_0241/LH195,4
PHN11_PHW65_0241/PHT69,1
PHN11_PHW65_0242/LH195,3
PHN11_PHW65_0242/PHT69,0
PHN11_PHW65_0245/LH195,3
PHN11_PHW65_0245/PHT69,3
PHN11_PHW65_0248/LH195,3
PHN11_PHW65_0248/PHT69,4
PHN11_PHW65_0250/LH195,3
PHN11_PHW65_0250/PHT69,3
PHN11_PHW65_0251/LH195,3
PHN11_PHW65_0251/PHT69,2
PHN11_PHW65_0256/LH195,4
PHN11_PHW65_0256/PHT69,3
PHN11_PHW65_0257/LH195,0
PHN11_PHW65_0257/PHT69,2
PHN11_PHW65_0258/LH195,4
PHN11_PHW65_0258/PHT69,4
PHN11_PHW65_0260/LH195,0
PHN11_PHW65_0260/PHT69,2
PHN11_PHW65_0261/LH195,1
PHN11_PHW65_0261/PHT69,1
PHN11_PHW65_0266/LH195,3
PHN11_PHW65_0266/PHT69,0
PHN11_PHW65_0267/LH195,0
PHN11_PHW65_0267/PHT69,1
PHN11_PHW65_0274/LH195,3
PHN11_PHW65_0274/PHT69,1
PHN11_PHW65_0275/CG102,2
PHN11_PHW65_0275/LH185,0
PHN11_PHW65_0275/LH195,0
PHN11_PHW65_0275/LH198,0
PHN11_PHW65_0275/PB80,4
PHN11_PHW65_0275/PHB47,4
PHN11_PHW65_0275/PHT69,1
PHN11_PHW65_0276/LH195,0
PHN11_PHW65_0276/PHT69,1
PHN11_PHW65_0277/LH195,3
PHN11_PHW65_0277/PHT69,2
PHN11_PHW65_0278/LH195,2
PHN11_PHW65_0278/PHT69,4
PHN11_PHW65_0279/LH195,4
PHN11_PHW65_0279/PHT69,0
PHN11_PHW65_0282/LH195,0
PHN11_PHW65_0282/PHT69,3
PHN11_PHW65_0284/LH195,0
PHN11_PHW65_0284/PHT69,0
PHN11_PHW65_0285/LH195,1
PHN11_PHW65_0285/PHT69,1
PHN11_PHW65_0286/LH195,2
PHN11_PHW65_0286/PHT69,3
PHN11_PHW65_0288/LH195,3
PHN11_PHW65_0288/PHT69,4
PHN11_PHW65_0291/LH195,1
PHN11_PHW65_0291/PHT69,2
PHN11_PHW65_0294/CG102,1
PHN11_PHW65_0294/LH195,0
PHN11_PHW65_0294/LH198,4
PHN11_PHW65_0294/PHB47,0
PHN11_PHW65_0294/PHT69,2
PHN11_PHW65_0300/LH195,2
PHN11_PHW65_0300/PHT69,1
PHN11_PHW65_0301/LH195,0
PHN11_PHW65_0301/PHT69,1
PHN11_PHW65_0302/LH195,2
PHN11_PHW65_0302/PHT69,1
PHN11_PHW65_0303/LH195,4
PHN11_PHW65_0303/PHT69,1
PHN11_PHW65_0305/LH195,3
PHN11_PHW65_0305/PHT69,0
PHN11_PHW65_0307/LH195,4
PHN11_PHW65_0307/PHT69,3
PHN11_PHW65_0310/LH195,1
PHN11_PHW65_0310/PHT69,2
PHN11_PHW65_0312/CG102,1
PHN11_PHW65_0312/LH195,1
PHN11_PHW65_0312/LH198,3
PHN11_PHW65_0312/PB80,0
PHN11_PHW65_0312/PHB47,1
PHN11_PHW65_0312/PHT69,4
PHN11_PHW65_0315/LH195,1
PHN11_PHW65_0315/PHT69,0
PHN11_PHW65_0316/LH195,3
PHN11_PHW65_0316/PHT69,4
PHN11_PHW65_0319/LH195,4
PHN11_PHW65_0319/PHT69,2
PHN11_PHW65_0320/LH195,2
PHN11_PHW65_0320/PHT69,3
PHN11_PHW65_0322/LH195,4
PHN11_PHW65_0322/PHT69,1
PHN11_PHW65_0323/LH195,1
PHN11_PHW65_0323/PHB47,4
PHN11_PHW65_0323/PHT69,3
PHN11_PHW65_0328/CG102,1
PHN11_PHW65_0328/LH185,1
PHN11_PHW65_0328/LH195,1
PHN11_PHW65_0328/LH198,2
PHN11_PHW65_0328/PHB47,0
PHN11_PHW65_0328/PHT69,2
PHN11_PHW65_0329/LH195,1
PHN11_PHW65_0329/PHT69,2
PHN11_PHW65_0333/LH195,1
PHN11_PHW65_0333/PHT69,1
PHN11_PHW65_0336/LH195,3
PHN11_PHW65_0336/PHT69,0
PHN11_PHW65_0341/LH195,1
PHN11_PHW65_0341/PHT69,0
PHN11_PHW65_0343/LH195,2
PHN11_PHW65_0343/PHT69,3
PHN11_PHW65_0344/LH195,0
PHN11_PHW65_0344/PHT69,1
PHN11_PHW65_0345/LH195,4
PHN11_PHW65_0345/PHT69,1
PHN11_PHW65_0346/LH195,1
PHN11_PHW65_0346/PHT69,4
PHN11_PHW65_0347/LH195,4
PHN11_PHW65_0347/PHT69,1
PHN11_PHW65_0352/LH195,4
PHN11_PHW65_0352/PHT69,1
PHN11_PHW65_0353/LH195,1
PHN11_PHW65_0353/PHT69,3
PHN11_PHW65_0354/LH195,1
PHN11_PHW65_0354/PHT69,3
PHN11_PHW65_0355/LH195,3
PHN11_PHW65_0355/PHT69,1
PHN11_PHW65_0358/LH195,0
PHN11_PHW65_0358/PHT69,3
PHN11_PHW65_0359/CG102,0
PHN11_PHW65_0359/LH185,1
PHN11_PHW65_0359/LH195,0
PHN11_PHW65_0359/LH198,2
PHN11_PHW65_0359/PB80,0
PHN11_PHW65_0359/PHB47,3
PHN11_PHW65_0359/PHT69,3
PHN11_PHW65_0360/LH195,0
PHN11_PHW65_0360/PHT69,2
PHN11_PHW65_0365/LH195,1
PHN11_PHW65_0365/PHT69,2
PHN11_PHW65_0369/LH195,1
PHN11_PHW65_0369/PHT69,2
PHN11_PHW65_0372/LH195,4
PHN11_PHW65_0372/PHT69,3
PHN11_PHW65_0374/LH195,3
PHN11_PHW65_0374/PHT69,1
PHN11_PHW65_0378/LH195,1
PHN11_PHW65_0378/PHT69,1
PHN11_PHW65_0382/LH195,4
PHN11_PHW65_0382/PHT69,3
PHN11_PHW65_0385/LH195,2
PHN11_PHW65_0385/PHT69,0
PHN11_PHW65_0386/LH195,4
PHN11_PHW65_0386/PHT69,3
PHN11_PHW65_0387/LH195,2
PHN11_PHW65_0387/PHT69,0
PHN11_PHW65_0390/LH195,0
PHN11_PHW65_0390/PHT69,3
PHN11_PHW65_0393/LH195,0
PHN11_PHW65_0393/PHT69,1
PHN11_PHW65_0395/LH195,2
PHN11_PHW65_0395/PHT69,3
PHN11_PHW65_0398/LH195,1
PHN11_PHW65_0398/PHT69,1
PHN11_PHW65_0402/LH195,4
PHN11_PHW65_0402/PHT69,4
PHN11_PHW65_0408/LH195,1
PHN11_PHW65_0408/PHT69,4
PHN11_PHW65_0410/LH195,1
PHN11_PHW65_0410/PHT69,1
PHN11_PHW65_0418/LH195,3
PHN11_PHW65_0418/PHT69,1
PHN11_PHW65_0421/LH195,0
PHN11_PHW65_0421/PHT69,2
PHN11_PHW65_0422/LH195,1
PHN11_PHW65_0422/PHT69,2
PHN11_PHW65_0423/LH195,2
PHN11_PHW65_0423/PHT69,3
PHN11_PHW65_0424/LH195,3
PHN11_PHW65_0424/PHT69,3
PHN11_PHW65_0427/LH195,0
PHN11_PHW65_0427/PHT69,1
PHN11_PHW65_0431/LH195,2
PHN11_PHW65_0431/PHT69,1
PHN11_PHW65_0432/LH195,4
PHN11_PHW65_0432/PHT69,4
PHN11_PHW65_0443/LH195,4
PHN11_PHW65_0443/PHT69,4
PHN11_PHW65_0448/LH195,3
PHN11_PHW65_0448/PHT69,0
PHN11_PHW65_0451/LH195,0
PHN11_PHW65_0451/PHT69,4
PHN11_PHW65_0453/LH195,1
PHN11_PHW65_0453/PHT69,4
PHN11_PHW65_0455/LH195,1
PHN11_PHW65_0455/PHT69,2
PHN11_PHW65_0464/LH195,2
PHN11_PHW65_0464/PHT69,2
PHN11_PHW65_0470/LH195,1
PHN11_PHW65_0470/PHT69,2
PHN11_PHW65_0478/LH195,4
PHN11_PHW65_0478/PHT69,0
PHN11_PHW65_0481/LH195,4
PHN11_PHW65_0481/PHT69,3
PHN11_PHW65_0486/LH195,4
PHN11_PHW65_0486/PHT69,4
PHN11_PHW65_0491/LH195,2
PHN11_PHW65_0491/PHT69,0
PHN11_PHW65_0494/LH195,1
PHN11_PHW65_0494/PHT69,3
PHN11_PHW65_0496/LH195,2
PHN11_PHW65_0496/PHT69,3
PHN11_PHW65_0499/LH195,1
PHN11_PHW65_0499/PHT69,0
PHN11_PHW65_0512/LH195,1
PHN11_PHW65_0512/PHT69,2
PHN11_PHW65_0514/LH195,4
PHN11_PHW65_0514/PHT69,3
PHN11_PHW65_0541/LH195,1
PHN11_PHW65_0541/PHT69,2
PHN11_PHW65_0548/LH195,4
PHN11_PHW65_0548/PHT69,4
PHN11_PHW65_0552/LH195,2
PHN11_PHW65_0552/PHT69,0
PHN11_PHW65_0577/LH195,2
PHN11_PHW65_0577/PHT69,1
PHN11_PHW65_0591/LH195,2
PHN11_PHW65_0591/PHT69,3
PHN11_PHW65_0604/LH195,0
PHN11_PHW65_0604/PHT69,4
PHN11_PHW65_0612/LH195,2
PHN11_PHW65_0612/PHT69,0
PHN11_PHW65_0614/LH195,3
PHN11_PHW65_0614/PHT69,1
PHN11_PHW65_0626/LH195,3
PHN11_PHW65_0626/PHT69,4
PHN11_PHW65_0637/LH195,4
PHN11_PHW65_0637/PHT69,4
PHN11_PHW65_0639/LH195,2
PHN11_PHW65_0639/PHT69,0
PHN11_PHW65_0663/LH195,1
PHN11_PHW65_0663/PHT69,0
PHN66/LH185,1
PHN66/LH38,4
PHN66/LH51,0
PHN66/LH82,2
PHN66/PHG29,4
PHN66/PHG47,2
PHN66/PHG83,1
PHN66/PHK56,0
PHN66/PHK76,2
PHN66/PHN82,2
PHN66/PHR55,4
PHN66/PHW30,3
PHN66/PHZ51,3
PHN66/Q381,3
PHN82/LH145,1
PHN82/LH82,3
PHN82/PHHV4,3
PHN82/PHRE1,2
PHN82/PHZ51,0
PHN82/S8324,4
PHP02/PHB47,2
PHP02/PHG47,4
PHP38/LH185,4
PHP38/LH210,0
PHP38/PHJ65,2
PHP38/PHM49,0
PHP38/PHM57,4
PHP38/PHN47,3
PHP38/PHN82,2
PHP38/PHP60,4
PHP38/PHR03,2
PHP38/PHR55,1
PHP38/PHR63,2
PHP38/PHW30,2
PHP38/PHW53,4
PHP38/Q381,3
PHP85/DK3IIH6,2
PHR25/LH82,2
PHR25/PHZ51,2
PHRE1/LH162,0
PHRE1/PHR25,1
PHRE1/PHTD5,2
PHRE1/PHZ51,3
PHT55/LH82,2
PHT55/PHB47,3
PHT55/PHZ51,3
PHT69/DK3IIH6,1
PHT69/LH82,4
PHT69/PHZ51,2
PHV37/DK3IIH6,2
PHV63/LH185,0
PHV63/LH195,2
PHV63/LH210,1
PHV63/LH82,0
PHV63/NK787,1
PHV63/PB80,1
PHV63/PHJ65,2
PHV63/PHM49,1
PHV63/PHM57,4
PHV63/PHN47,1
PHV63/PHN82,3
PHV63/PHP60,2
PHV63/PHR03,2
PHV63/PHR55,3
PHV63/PHR63,0
PHV63/PHW30,4
PHV63/PHW53,0
PHV63/PHZ51,4
PHV63/Q381,4
PHW03/LH145,0
PHW03/S8324,1
PHW30/LH82,3
PHW30/PHZ51,4
PHW52/LH185,3
PHW52/LH210,1
PHW52/LH38,2
PHW52/LH51,4
PHW52/LH82,2
PHW52/NK787,0
PHW52/PHG29,4
PHW52/PHG35,4
PHW52/PHG47,3
PHW52/PHG83,1
PHW52/PHJ65,1
PHW52/PHK56,3
PHW52/PHK76,3
PHW52/PHM49,3
PHW52/PHM57,2
PHW52/PHN47,1
PHW52/PHN82,4
PHW52/PHP60,3
PHW52/PHR03,4
PHW52/PHR55,1
PHW52/PHR63,0
PHW52/PHW30,4
PHW52/PHW53,4
PHW52/PHZ51,1
PHW52/Q381,1
PHW52/TX205,4
PHW53/LH82,3
PHW53/PHB47,0
PHW53/PHZ51,0
PHW65/LH195,4
PHW65/LH82,2
PHW65/PHB47,3
PHW65/PHT69,1
PHW65/PHZ51,4
PHW65_MOG_0001/LH195,0
PHW65_MOG_0001/PHT69,3
PHW65_MOG_0003/LH195,4
PHW65_MOG_0003/PHT69,1
PHW65_MOG_0006/LH195,0
PHW65_MOG_0006/PHT69,4
PHW65_MOG_0009/LH195,4
PHW65_MOG_0009/PHT69,0
PHW65_MOG_0012/LH185,4
PHW65_MOG_0012/LH195,4
PHW65_MOG_0012/LH198,2
PHW65_MOG_0012/PB80,2
PHW65_MOG_0012/PHT69,2
PHW65_MOG_0014/LH195,3
PHW65_MOG_0014/PHT69,2
PHW65_MOG_0015/LH195,1
PHW65_MOG_0015/PHT69,2
PHW65_MOG_0016/LH195,1
PHW65_MOG_0016/PHT69,1
PHW65_MOG_0017/LH195,1
PHW65_MOG_0017/PHT69,1
PHW65_MOG_0018/LH195,3
PHW65_MOG_0018/PHT69,3
PHW65_MOG_0021/LH195,4
PHW65_MOG_0021/PHT69,3
PHW65_MOG_0022/LH195,0
PHW65_MOG_0022/PHT69,0
PHW65_MOG_0024/LH195,0
PHW65_MOG_0024/PHT69,3
PHW65_MOG_0025/LH195,4
PHW65_MOG_0025/PHT69,2
PHW65_MOG_0029/LH195,1
PHW65_MOG_0029/PHB47,2
PHW65_MOG_0029/PHT69,3
PHW65_MOG_0032/LH195,1
PHW65_MOG_0032/PHT69,2
PHW65_MOG_0034/LH195,2
PHW65_MOG_0034/PHT69,0
PHW65_MOG_0036/LH195,3
PHW65_MOG_0036/PHT69,4
PHW65_MOG_0037/LH195,2
PHW65_MOG_0037/PHT69,0
PHW65_MOG_0038/LH195,1
PHW65_MOG_0038/PHT69,3
PHW65_MOG_0040/LH195,2
PHW65_MOG_0040/PHT69,3
PHW65_MOG_0041/LH195,4
PHW65_MOG_0041/PHT69,4
PHW65_MOG_0048/LH195,3
PHW65_MOG_0048/PHT69,0
PHW65_MOG_0050/LH195,3
PHW65_MOG_0050/PHT69,3
PHW65_MOG_0051/LH195,3
PHW65_MOG_0051/PHT69,2
PHW65_MOG_0052/LH195,2
PHW65_MOG_0052/PHT69,0
PHW65_MOG_0054/LH195,4
PHW65_MOG_0054/PHT69,1
PHW65_MOG_0055/LH195,4
PHW65_MOG_0055/PHT69,3
PHW65_MOG_0056/LH195,3
PHW65_MOG_0056/PHT69,4
PHW65_MOG_0057/LH195,0
PHW65_MOG_0057/PHT69,0
PHW65_MOG_0059/LH195,2
PHW65_MOG_0059/PHT69,2
PHW65_MOG_0060/PHT69,1
PHW65_MOG_0061/LH195,2
PHW65_MOG_0061/PHT69,3
PHW65_MOG_0062/LH195,4
PHW65_MOG_0062/PHT69,2
PHW65_MOG_0063/LH195,1
PHW65_MOG_0063/PHT69,3
PHW65_MOG_0064/LH195,1
PHW65_MOG_0064/PHT69,4
PHW65_MOG_0069/LH195,0
PHW65_MOG_0069/PHT69,4
PHW65_MOG_0071/LH195,3
PHW65_MOG_0071/PHT69,1
PHW65_MOG_0072/LH195,1
PHW65_MOG_0072/PHT69,4
PHW65_MOG_0075/LH195,0
PHW65_MOG_0079/LH195,2
PHW65_MOG_0079/PHT69,2
PHW65_MOG_0082/LH195,2
PHW65_MOG_0082/PHT69,3
PHW65_MOG_0085/LH195,2
PHW65_MOG_0085/PHT69,3
PHW65_MOG_0086/LH195,2
PHW65_MOG_0086/PHT69,3
PHW65_MOG_0087/LH195,4
PHW65_MOG_0087/PHT69,2
PHW65_MOG_0089/LH195,3
PHW65_MOG_0089/PHT69,1
PHW65_MOG_0096/LH195,1
PHW65_MOG_0096/PHT69,1
PHW65_MOG_0098/LH195,2
PHW65_MOG_0098/PHT69,2
PHW65_MOG_0106/LH195,3
PHW65_MOG_0106/PHT69,1
PHW65_MOG_0108/LH195,0
PHW65_MOG_0108/PHT69,4
PHW65_MOG_0109/LH195,0
PHW65_MOG_0109/PHT69,1
PHW65_MOG_0111/LH195,1
PHW65_MOG_0111/PHT69,1
PHW65_MOG_0115/LH195,3
PHW65_MOG_0116/LH195,0
PHW65_MOG_0116/PHT69,4
PHW65_MOG_0117/LH195,0
PHW65_MOG_0117/PHT69,0
PHW65_MOG_0118/LH195,4
PHW65_MOG_0118/PHT69,4
PHW65_MOG_0121/LH195,2
PHW65_MOG_0121/PHT69,4
PHW65_MOG_0122/LH195,1
PHW65_MOG_0122/PHT69,0
PHW65_MOG_0125/LH195,2
PHW65_MOG_0125/PHT69,3
PHW65_MOG_0126/LH195,4
PHW65_MOG_0126/PHT69,1
PHW65_MOG_0127/LH195,4
PHW65_MOG_0127/PHT69,2
PHW65_MOG_0128/LH195,3
PHW65_MOG_0128/PHT69,2
PHW65_MOG_0129/PHT69,4
PHW65_MOG_0130/LH195,1
PHW65_MOG_0130/PHT69,0
PHW65_MOG_0132/LH195,4
PHW65_MOG_0132/PHT69,0
PHW65_MOG_0133/LH195,3
PHW65_MOG_0133/PHT69,3
PHW65_MOG_0137/CG102,1
PHW65_MOG_0137/LH185,1
PHW65_MOG_0137/LH195,1
PHW65_MOG_0137/LH198,3
PHW65_MOG_0137/PHB47,3
PHW65_MOG_0137/PHT69,2
PHW65_MOG_0138/LH195,1
PHW65_MOG_0138/PHT69,1
PHW65_MOG_0139/LH195,4
PHW65_MOG_0139/PHT69,3
PHW65_MOG_0142/LH195,0
PHW65_MOG_0142/PHT69,2
PHW65_MOG_0143/LH195,4
PHW65_MOG_0143/PHT69,0
PHW65_MOG_0145/LH195,3
PHW65_MOG_0145/PHT69,0
PHW65_MOG_0146/LH195,1
PHW65_MOG_0146/PHT69,0
PHW65_MOG_0148/LH195,0
PHW65_MOG_0148/PHT69,2
PHW65_MOG_0150/LH195,3
PHW65_MOG_0150/PHT69,0
PHW65_MOG_0152/LH195,3
PHW65_MOG_0152/PHT69,1
PHW65_MOG_0153/LH195,1
PHW65_MOG_0153/PHT69,0
PHW65_MOG_0155/LH195,2
PHW65_MOG_0155/PHT69,0
PHW65_MOG_0156/LH195,3
PHW65_MOG_0156/PHT69,1
PHW65_MOG_0159/LH195,4
PHW65_MOG_0159/PHT69,3
PHW65_MOG_0160/LH195,2
PHW65_MOG_0160/PHT69,0
PHW65_MOG_0162/LH195,4
PHW65_MOG_0162/PHT69,3
PHW65_MOG_0163/LH195,3
PHW65_MOG_0163/PHT69,0
PHW65_MOG_0170/LH195,3
PHW65_MOG_0170/PHT69,1
PHW65_MOG_0172/LH195,2
PHW65_MOG_0172/PHT69,1
PHW65_MOG_0173/LH195,3
PHW65_MOG_0173/PHT69,4
PHW65_MOG_0175/LH195,2
PHW65_MOG_0175/PHT69,4
PHW65_MOG_0176/CG102,2
PHW65_MOG_0176/LH185,1
PHW65_MOG_0176/LH195,4
PHW65_MOG_0176/LH198,0
PHW65_MOG_0176/PB80,1
PHW65_MOG_0176/PHB47,0
PHW65_MOG_0176/PHT69,0
PHW65_MOG_0178/LH195,0
PHW65_MOG_0178/PHT69,3
PHW65_MOG_0179/LH195,4
PHW65_MOG_0179/PHT69,2
PHW65_MOG_0180/LH195,4
PHW65_MOG_0180/PHT69,0
PHW65_MOG_0181/LH195,4
PHW65_MOG_0181/PHT69,3
PHW65_MOG_0183/LH195,1
PHW65_MOG_0183/PHT69,2
PHW65_MOG_0190/LH195,3
PHW65_MOG_0190/PHT69,0
PHW65_MOG_0191/LH195,2
PHW65_MOG_0191/PHT69,4
PHW65_MOG_0192/LH195,1
PHW65_MOG_0192/PHT69,4
PHW65_MOG_0194/LH195,4
PHW65_MOG_0194/PHT69,1
PHW65_MOG_0195/LH195,3
PHW65_MOG_0196/LH195,1
PHW65_MOG_0196/PHT69,3
PHW65_MOG_0199/LH195,4
PHW65_MOG_0199/PHT69,3
PHW65_MOG_0200/PHT69,2
PHW65_MOG_0201/LH195,1
PHW65_MOG_0201/PHT69,2
PHW65_MOG_0203/LH195,0
PHW65_MOG_0203/PHT69,1
PHW65_MOG_0209/LH195,4
PHW65_MOG_0209/PHT69,0
PHW65_MOG_0213/LH195,1
PHW65_MOG_0213/PHT69,3
PHW65_MOG_0215/LH195,0
PHW65_MOG_0215/PHT69,2
PHW65_MOG_0217/LH195,3
PHW65_MOG_0217/PHT69,4
PHW65_MOG_0218/LH195,0
PHW65_MOG_0218/PHT69,0
PHW65_MOG_0221/PHT69,0
PHW65_MOG_0223/LH195,4
PHW65_MOG_0223/PHT69,2
PHW65_MOG_0224/LH195,3
PHW65_MOG_0224/PHT69,2
PHW65_MOG_0232/LH195,3
PHW65_MOG_0232/PHT69,0
PHW65_MOG_0236/LH195,1
PHW65_MOG_0236/PHT69,3
PHW65_MOG_0242/PHT69,2
PHW65_MOG_0250/LH195,0
PHW65_MOG_0250/PHT69,3
PHW65_MOG_0253/PHT69,3
PHW65_MOG_0262/LH195,1
PHW65_MOG_0262/PHT69,1
PHW65_MOG_0266/LH195,4
PHW65_MOG_0266/PHT69,2
PHW65_MOG_0268/LH195,3
PHW65_MOG_0268/PHT69,1
PHW65_MOG_0271/CG102,3
PHW65_MOG_0271/LH185,0
PHW65_MOG_0271/LH195,3
PHW65_MOG_0271/LH198,2
PHW65_MOG_0271/PB80,0
PHW65_MOG_0271/PHB47,3
PHW65_MOG_0271/PHT69,0
PHW65_MOG_0277/LH195,1
PHW65_MOG_0277/PHT69,0
PHW65_MOG_0287/LH195,1
PHW65_MOG_0287/PHT69,1
PHW65_MOG_0291/LH195,4
PHW65_MOG_0291/PHT69,0
PHW65_MOG_0293/CG102,4
PHW65_MOG_0293/LH185,3
PHW65_MOG_0293/LH195,4
PHW65_MOG_0293/LH198,3
PHW65_MOG_0293/PHB47,3
PHW65_MOG_0293/PHT69,4
PHW65_MOG_0294/LH195,4
PHW65_MOG_0294/PHT69,0
PHW65_MOG_0296/LH195,1
PHW65_MOG_0296/PHT69,2
PHW65_MOG_0297/LH195,2
PHW65_MOG_0297/PHT69,0
PHW65_MOG_0300/LH195,1
PHW65_MOG_0305/LH195,2
PHW65_MOG_0305/PHT69,3
PHW65_MOG_0306/LH195,3
PHW65_MOG_0306/PHT69,4
PHW65_MOG_0307/LH195,4
PHW65_MOG_0307/PHT69,0
PHW65_MOG_0308/LH195,3
PHW65_MOG_0308/PHT69,0
PHW65_MOG_0310/LH195,3
PHW65_MOG_0310/PHT69,0
PHW65_MOG_0311/LH195,1
PHW65_MOG_0311/PB80,2
PHW65_MOG_0311/PHB47,1
PHW65_MOG_0311/PHT69,3
PHW65_MOG_0312/LH195,3
PHW65_MOG_0312/PHT69,3
PHW65_MOG_0314/LH195,2
PHW65_MOG_0314/PHT69,0
PHW65_MOG_0315/LH195,1
PHW65_MOG_0315/PHT69,2
PHW65_MOG_0316/LH195,1
PHW65_MOG_0316/PHT69,0
PHW65_MOG_0321/LH195,1
PHW65_MOG_0321/PHT69,4
PHW65_MOG_0326/LH195,2
PHW65_MOG_0326/PHT69,1
PHW65_MOG_0327/LH195,3
PHW65_MOG_0327/PHT69,4
PHW65_MOG_0329/LH195,0
PHW65_MOG_0329/PHT69,2
PHW65_MOG_0332/LH195,4
PHW65_MOG_0332/PHT69,2
PHW65_MOG_0335/LH195,3
PHW65_MOG_0335/PHT69,3
PHW65_MOG_0338/LH195,4
PHW65_MOG_0338/PHT69,1
PHW65_MOG_0340/LH195,4
PHW65_MOG_0340/PHT69,3
PHW65_MOG_0341/LH195,0
PHW65_MOG_0341/PHT69,4
PHW65_MOG_0343/LH195,3
PHW65_MOG_0343/PHT69,1
PHW65_MOG_0350/LH195,3
PHW65_MOG_0350/PHT69,0
PHW65_MOG_0352/LH195,3
PHW65_MOG_0352/PHT69,1
PHW65_MOG_0354/LH195,1
PHW65_MOG_0354/PHT69,4
PHW65_MOG_0375/LH195,4
PHW65_MOG_0375/PHT69,4
PHW65_MOG_0377/LH195,2
PHW65_MOG_0377/PHT69,3
PHW65_MOG_0379/LH195,4
PHW65_MOG_0379/PHT69,2
PHW65_MOG_0381/LH195,0
PHW65_MOG_0381/PHT69,1
PHW65_MOG_0384/LH195,3
PHW65_MOG_0384/PHT69,2
PHW65_MOG_0388/LH195,3
PHW65_MOG_0392/LH195,0
PHW65_MOG_0392/PHT69,0
PHW65_MOG_0393/LH195,3
PHW65_MOG_0393/PHT69,3
PHW65_MOG_0401/LH195,4
PHW65_MOG_0401/PHT69,2
PHW65_MOG_0410/LH195,0
PHW65_MOG_0410/PHT69,1
PHW65_MOG_0411/LH195,3
PHW65_MOG_0411/PHT69,4
PHW65_MOG_0420/LH195,3
PHW65_MOG_0420/PHT69,2
PHW65_MOG_0421/LH195,1
PHW65_MOG_0421/PHT69,3
PHW65_MOG_0422/LH195,0
PHW65_MOG_0422/PHT69,1
PHW65_MOG_0423/LH195,0
PHW65_MOG_0423/PHT69,4
PHW65_MOG_0424/LH195,4
PHW65_MOG_0424/PHT69,2
PHW65_MOG_0426/LH195,0
PHW65_MOG_0426/PHT69,4
PHW65_MOG_0429/LH195,4
PHW65_MOG_0429/PHT69,2
PHW65_MOG_0431/LH195,0
PHW65_MOG_0431/PHT69,2
PHW65_MOG_0436/LH195,2
PHW65_MOG_0436/PHT69,2
PHW65_MOG_0438/LH195,1
PHW65_MOG_0438/PHT69,3
PHW65_MOG_0439/LH195,0
PHW65_MOG_0439/PHT69,3
PHW65_MOG_0442/LH195,0
